,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
125,Kevin Love,CLE,22.5,.430,7.2,2.2,0.4,0.2,1.3,13.6
126,Cedi Osman,CLE,22.2,.432,2.2,2.0,0.8,0.2,1.0,10.7
127,Rajon Rondo,CLE,19.5,.429,2.8,4.9,0.9,0.0,1.6,6.2
128,Dean Wade,CLE,19.2,.456,2.9,1.0,0.6,0.1,0.3,5.3
129,Lamar Stevens,CLE,16.1,.489,2.6,0.7,0.5,0.3,0.7,6.1
130,Justin Anderson,CLE,15.7,.500,2.0,2.0,0.3,0.0,0.7,4.3
131,Brandon Goodwin,CLE,13.9,.416,1.9,2.5,0.7,0.0,1.0,4.8
132,Moses Brown,CLE,12.6,.638,5.3,0.0,0.3,0.5,0.4,6.4
133,Denzel Valentine,CLE,9.3,.371,1.7,0.5,0.3,0.0,0.5,2.9
134,Dylan Windler,CLE,9.2,.378,1.8,0.7,0.3,0.1,0.3,2.2
135,Malik Newman,CLE,8.0,.600,1.0,1.0,0.0,0.0,1.0,8.0
136,Luke Kornet,CLE,7.5,.200,1.5,0.5,0.0,0.5,0.0,2.0
137,Kevin Pangos,CLE,6.9,.326,0.5,1.3,0.1,0.0,0.3,1.6
138,Ed Davis,CLE,6.5,.688,2.1,0.2,0.1,0.3,0.2,0.9
139,Tre Scott,CLE,5.5,.500,1.0,0.0,0.5,0.5,0.0,3.0
140,Tacko Fall,CLE,5.4,.417,2.1,0.2,0.0,0.5,0.3,1.1
141,RJ Nembhard Jr.,CLE,4.5,.333,0.5,0.9,0.1,0.0,0.2,1.1
142,Tim Frazier,CLE,4.0,.500,0.0,0.5,0.0,0.0,1.0,1.0
143,Luka Dončić,DAL,35.4,.457,9.1,8.7,1.2,0.6,4.5,28.4
144,Dorian Finney-Smith,DAL,33.1,.471,4.7,1.9,1.1,0.5,1.0,11.0
145,Jalen Brunson,DAL,31.9,.502,3.9,4.8,0.8,0.0,1.6,16.3
146,Tim Hardaway Jr.,DAL,29.6,.394,3.7,2.2,0.9,0.1,0.8,14.2
147,Kristaps Porziņģis,DAL,29.5,.451,7.7,2.0,0.7,1.7,1.6,19.2
148,Spencer Dinwiddie,DAL,28.3,.498,3.1,3.9,0.7,0.3,1.3,15.8
149,Reggie Bullock,DAL,28.0,.401,3.5,1.2,0.6,0.2,0.6,8.6
150,Maxi Kleber,DAL,24.6,.398,5.9,1.2,0.5,1.0,0.8,7.0
151,Dwight Powell,DAL,21.9,.671,4.9,1.2,0.5,0.5,0.8,8.7
152,Josh Green,DAL,15.5,.508,2.4,1.2,0.7,0.2,0.7,4.8
153,Dāvis Bertāns,DAL,13.9,.375,2.5,0.7,0.3,0.3,0.2,5.3
154,Isaiah Thomas,DAL,13.0,.375,0.0,4.0,0.0,0.0,0.0,6.0
155,Brandon Knight,DAL,13.0,.400,1.6,1.6,0.2,0.0,0.8,6.4
156,Sterling Brown,DAL,12.8,.381,3.0,0.7,0.3,0.1,0.5,3.3
157,Frank Ntilikina,DAL,11.8,.399,1.4,1.2,0.5,0.1,0.5,4.1
158,Trey Burke,DAL,10.5,.391,0.8,1.4,0.3,0.0,0.6,5.1
159,Marquese Chriss,DAL,10.2,.463,3.0,0.5,0.4,0.4,0.5,4.5
160,Willie Cauley-Stein,DAL,9.8,.457,2.1,0.5,0.3,0.2,0.4,1.9
161,Theo Pinson,DAL,7.8,.359,1.1,0.9,0.3,0.1,0.3,2.5
162,Moses Brown,DAL,6.5,.540,2.3,0.0,0.1,0.3,0.5,3.1
163,Carlik Jones,DAL,6.3,.000,1.0,1.7,0.3,0.0,1.0,0.7
164,Boban Marjanović,DAL,5.6,.600,1.7,0.1,0.0,0.1,0.7,4.3
165,Charlie Brown Jr.,DAL,5.0,.200,0.3,0.3,0.7,0.3,0.0,0.7
166,George King,DAL,4.8,.000,1.3,0.0,0.0,0.0,0.3,0.3
167,Eugene Omoruyi,DAL,4.5,.400,1.8,0.5,0.0,0.0,0.0,1.8
168,Moses Wright,DAL,4.3,.250,1.0,0.3,0.0,0.3,0.0,1.7
169,JaQuori McLaughlin,DAL,2.8,.000,0.0,0.5,0.0,0.0,0.0,0.0
170,Nikola Jokić,DEN,33.5,.583,13.8,7.9,1.5,0.9,3.8,27.1
171,Will Barton,DEN,32.1,.438,4.8,3.9,0.8,0.4,1.8,14.7
172,Aaron Gordon,DEN,31.7,.520,5.9,2.5,0.6,0.6,1.8,15.0
173,Monte Morris,DEN,29.9,.484,3.0,4.4,0.7,0.2,1.0,12.6
174,Michael Porter Jr.,DEN,29.4,.359,6.6,1.9,1.1,0.2,1.3,9.9
175,Jeff Green,DEN,24.7,.524,3.1,1.3,0.4,0.4,0.9,10.3
176,Austin Rivers,DEN,22.1,.417,1.7,1.3,0.8,0.1,0.8,6.0
177,Bones Hyland,DEN,19.0,.403,2.7,2.8,0.6,0.3,1.2,10.1
178,PJ Dozier,DEN,18.9,.364,3.5,1.6,0.6,0.3,0.7,5.4
179,Facundo Campazzo,DEN,18.2,.361,1.8,3.4,1.0,0.4,1.0,5.1
180,Bryn Forbes,DEN,17.4,.424,0.9,1.0,0.2,0.1,0.7,8.6
181,Zeke Nnaji,DEN,17.0,.516,3.6,0.4,0.4,0.3,0.6,6.6
182,JaMychal Green,DEN,16.2,.486,4.2,0.9,0.6,0.4,0.9,6.4
183,DeMarcus Cousins,DEN,13.9,.456,5.5,1.7,0.6,0.4,2.2,8.9
184,Davon Reed,DEN,13.9,.503,2.3,1.1,0.5,0.2,0.3,4.4
185,Vlatko Čančar,DEN,11.7,.561,2.1,1.1,0.1,0.2,0.6,4.1
186,Rayjon Tucker,DEN,9.7,.500,1.3,1.3,0.3,0.0,0.0,2.0
187,Bol Bol,DEN,5.8,.556,1.4,0.4,0.1,0.1,0.3,2.4
188,Markus Howard,DEN,5.7,.386,0.4,0.2,0.3,0.0,0.2,4.1
189,James Ennis III,DEN,4.7,.333,0.7,1.0,0.0,0.0,0.3,1.3
190,Petr Cornelie,DEN,2.9,.333,1.1,0.2,0.1,0.1,0.3,1.1
191,Carlik Jones,DEN,2.0,.500,0.0,0.0,0.0,0.0,0.0,1.0
192,Derrick Walton,DET,36.0,.231,3.3,7.0,2.3,1.3,3.7,6.3
193,Saddiq Bey,DET,33.0,.396,5.4,2.8,0.9,0.2,1.2,16.1
194,Cade Cunningham,DET,32.6,.416,5.5,5.6,1.2,0.7,3.7,17.4
195,Jerami Grant,DET,31.9,.426,4.1,2.4,0.9,1.0,1.8,19.2
196,Marvin Bagley III,DET,27.2,.555,6.8,1.1,0.7,0.4,1.0,14.6
197,Isaiah Stewart,DET,25.6,.510,8.7,1.2,0.3,1.1,1.2,8.3
198,Killian Hayes,DET,25.0,.383,3.2,4.2,1.2,0.5,1.7,6.9
199,Cory Joseph,DET,24.6,.445,2.7,3.6,0.6,0.3,1.3,8.0
200,Frank Jackson,DET,22.0,.402,1.6,1.0,0.5,0.2,0.7,10.6
201,Hamidou Diallo,DET,21.9,.496,4.8,1.3,1.2,0.3,1.0,11.0
202,Braxton Key,DET,21.2,.457,5.3,1.1,1.0,1.2,1.0,8.6
203,Isaiah Livers,DET,20.2,.456,3.0,1.1,0.7,0.4,0.8,6.4
204,Carsen Edwards,DET,19.8,.300,1.5,3.5,0.5,0.0,1.3,5.8
205,Trey Lyles,DET,19.4,.456,4.8,1.1,0.4,0.5,1.1,10.4
206,Kelly Olynyk,DET,19.1,.448,4.4,2.8,0.8,0.5,1.5,9.1
207,Justin Robinson,DET,18.2,.321,1.4,1.8,0.2,0.2,1.0,5.6
208,Josh Jackson,DET,18.1,.410,3.2,1.3,0.5,0.5,1.0,7.1
209,Cassius Stanley,DET,17.2,.413,2.1,0.4,0.6,0.2,0.7,5.8
210,Trayvon Palmer,DET,17.0,.000,2.0,0.0,0.0,0.0,1.0,0.0
211,Saben Lee,DET,16.3,.390,2.4,2.9,1.0,0.3,1.0,5.6
212,Rodney McGruder,DET,14.8,.436,2.2,0.9,0.4,0.1,0.5,5.4
213,Jamorko Pickett,DET,13.5,.360,2.5,0.5,0.0,0.5,0.4,3.8
214,Luka Garza,DET,12.2,.449,3.1,0.6,0.3,0.2,0.6,5.8
215,Micah Potter,DET,10.3,.455,3.0,0.0,0.3,0.3,0.3,4.0
216,Cheick Diallo,DET,10.3,.375,4.0,0.0,0.3,0.0,0.3,3.7
217,Deividas Sirvydis,DET,9.0,.100,2.0,0.3,1.0,0.3,0.0,1.0
218,Jaysean Paige,DET,7.0,.000,1.0,1.0,0.0,0.0,1.0,0.0
219,Stephen Curry,GSW,34.5,.437,5.2,6.3,1.3,0.4,3.2,25.5
220,Andrew Wiggins,GSW,31.9,.466,4.5,2.2,1.0,0.7,1.5,17.2
221,Jordan Poole,GSW,30.0,.448,3.4,4.0,0.8,0.3,2.5,18.5
222,Klay Thompson,GSW,29.4,.429,3.9,2.8,0.5,0.5,1.3,20.4
223,Draymond Green,GSW,28.9,.525,7.3,7.0,1.3,1.1,3.0,7.5
224,Otto Porter Jr.,GSW,22.2,.464,5.7,1.5,1.1,0.5,0.6,8.2
225,Kevon Looney,GSW,21.1,.571,7.3,2.0,0.6,0.6,0.8,6.0
226,Damion Lee,GSW,19.9,.441,3.2,1.0,0.6,0.1,0.6,7.4
227,Andre Iguodala,GSW,19.5,.380,3.2,3.7,0.9,0.7,0.9,4.0
228,Gary Payton II,GSW,17.6,.616,3.5,0.9,1.4,0.3,0.6,7.1
229,Jonathan Kuminga,GSW,16.9,.513,3.3,0.9,0.4,0.3,1.1,9.3
230,Nemanja Bjelica,GSW,16.1,.468,4.1,2.2,0.6,0.4,1.2,6.1
231,Juan Toscano-Anderson,GSW,13.6,.489,2.4,1.7,0.7,0.2,0.9,4.1
232,Moses Moody,GSW,11.7,.437,1.5,0.4,0.1,0.2,0.3,4.4
233,Chris Chiozza,GSW,10.9,.296,1.1,1.9,0.4,0.0,0.9,2.0
234,Jeff Dowtin,GSW,7.0,.500,1.8,0.8,0.0,0.3,0.3,1.5
235,Quinndary Weatherspoon,GSW,6.6,.571,1.3,0.5,0.1,0.1,0.3,2.7
236,Jalen Green,HOU,31.9,.426,3.4,2.6,0.7,0.3,2.0,17.3
237,Kevin Porter Jr.,HOU,31.3,.415,4.4,6.2,1.1,0.4,3.1,15.6
238,Christian Wood,HOU,30.8,.501,10.1,2.3,0.8,1.0,1.9,17.9
239,Eric Gordon,HOU,29.3,.475,2.0,2.7,0.5,0.3,1.9,13.4
240,Dennis Schröder,HOU,26.9,.393,3.3,5.9,0.8,0.2,2.6,10.9
241,Jae'Sean Tate,HOU,26.4,.498,5.4,2.8,0.9,0.5,1.8,11.8
242,Garrison Mathews,HOU,26.3,.399,2.9,1.0,0.9,0.4,0.6,10.0
243,Daniel Theis,HOU,22.5,.469,5.0,0.8,0.4,0.7,1.2,8.4
244,Kenyon Martin Jr.,HOU,21.0,.533,3.8,1.3,0.4,0.5,0.8,8.8
245,Alperen Şengün,HOU,20.7,.474,5.5,2.6,0.8,0.9,2.0,9.6
246,Josh Christopher,HOU,18.0,.448,2.5,2.0,0.9,0.2,1.5,7.9
247,Armoni Brooks,HOU,16.8,.347,2.0,1.2,0.5,0.2,0.6,6.2
248,D.J. Augustin,HOU,15.0,.404,1.2,2.2,0.3,0.0,1.3,5.4
249,Danuel House Jr.,HOU,14.6,.338,2.7,1.2,0.3,0.3,1.1,4.8
250,David Nwaba,HOU,13.2,.483,3.3,0.8,0.6,0.4,0.5,5.1
251,Daishen Nix,HOU,10.9,.403,1.4,1.7,0.6,0.0,1.1,3.2
252,Usman Garuba,HOU,10.0,.432,3.5,0.7,0.4,0.5,0.3,2.0
253,Bruno Fernando,HOU,9.4,.707,4.0,0.3,0.1,0.8,0.9,6.9
254,Trevelin Queen,HOU,7.4,.455,1.6,0.4,0.5,0.1,0.7,4.3
255,Tyrese Haliburton,IND,36.1,.502,4.3,9.6,1.8,0.6,3.2,17.5
256,Buddy Hield,IND,35.6,.447,5.1,4.8,1.0,0.4,2.4,18.2
257,Domantas Sabonis,IND,34.7,.580,12.1,5.0,1.0,0.5,3.0,18.9
258,Malcolm Brogdon,IND,33.5,.448,5.1,5.9,0.8,0.4,2.1,19.1
259,Caris LeVert,IND,31.1,.447,3.8,4.4,0.9,0.5,1.9,18.7
260,Myles Turner,IND,29.4,.509,7.1,1.0,0.7,2.8,1.3,12.9
261,Justin Holiday,IND,28.9,.415,2.8,1.8,0.7,0.4,1.0,11.0
262,Chris Duarte,IND,28.0,.432,4.1,2.1,1.0,0.2,1.6,13.1
263,Jalen Smith,IND,24.7,.531,7.6,0.8,0.4,1.0,0.9,13.4
264,T.J. McConnell,IND,24.1,.481,3.3,4.9,1.1,0.4,1.1,8.5
265,Oshae Brissett,IND,23.3,.411,5.3,1.1,0.7,0.4,0.8,9.1
266,Terry Taylor,IND,21.6,.614,5.2,1.2,0.4,0.2,0.7,9.6
267,Justin Anderson,IND,20.7,.368,3.1,2.1,0.5,0.5,0.5,6.8
268,Torrey Craig,IND,20.3,.456,3.8,1.1,0.5,0.4,0.8,6.5
269,Duane Washington Jr.,IND,20.2,.405,1.7,1.8,0.5,0.1,1.2,9.9
270,Lance Stephenson,IND,18.6,.458,2.8,3.9,0.6,0.1,1.7,9.3
271,Keifer Sykes,IND,17.7,.363,1.4,1.9,0.4,0.1,1.0,5.6
272,Tristan Thompson,IND,16.5,.542,4.5,0.5,0.0,0.5,1.0,7.3
273,Kelan Martin,IND,16.4,.417,2.0,0.8,0.5,0.3,0.5,6.3
274,Jeremy Lamb,IND,15.7,.373,2.4,1.3,0.6,0.4,0.6,7.1
275,Isaiah Jackson,IND,15.0,.563,4.1,0.3,0.7,1.4,1.1,8.3
276,Goga Bitadze,IND,14.6,.520,3.5,1.1,0.4,0.8,0.9,7.0
277,Brad Wanamaker,IND,13.3,.361,1.6,2.2,0.2,0.3,1.0,3.5
278,Gabe York,IND,10.5,.286,1.0,2.0,1.0,0.5,0.5,4.0
279,Reggie Perry,IND,10.0,1.000,1.0,0.0,0.0,0.0,0.0,2.0
280,DeJon Jarreau,IND,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
281,Nate Hinton,IND,1.0,.000,0.0,0.0,0.0,0.0,0.5,0.0
282,Ahmad Caver,IND,1.0,1.000,0.0,0.0,0.0,0.0,0.0,2.0
283,Paul George,LAC,34.7,.421,6.9,5.7,2.2,0.4,4.1,24.3
284,Reggie Jackson,LAC,31.2,.392,3.6,4.8,0.7,0.2,2.3,16.8
285,Marcus Morris,LAC,29.0,.434,4.4,2.1,0.5,0.3,1.3,15.4
286,Terance Mann,LAC,28.6,.484,5.2,2.6,0.7,0.3,1.0,10.8
287,Luke Kennard,LAC,27.4,.449,3.3,2.1,0.6,0.1,0.9,11.9
288,Eric Bledsoe,LAC,25.2,.421,3.4,4.2,1.3,0.4,2.1,9.9
289,Norman Powell,LAC,25.0,.508,2.8,2.8,0.4,0.8,1.4,21.4
290,Nicolas Batum,LAC,24.8,.463,4.3,1.7,1.0,0.7,0.7,8.3
291,Ivica Zubac,LAC,24.4,.626,8.5,1.6,0.5,1.0,1.5,10.3
292,Amir Coffey,LAC,22.7,.453,2.9,1.8,0.6,0.2,0.7,9.0
293,Robert Covington,LAC,22.1,.500,5.1,1.0,1.3,1.2,0.7,10.4
294,Isaiah Hartenstein,LAC,17.9,.626,4.9,2.4,0.7,1.1,1.2,8.3
295,Serge Ibaka,LAC,15.4,.490,4.3,1.0,0.2,0.7,0.9,6.6
296,Brandon Boston Jr.,LAC,14.9,.385,2.2,1.0,0.5,0.3,0.6,6.7
297,James Ennis III,LAC,14.0,.636,2.5,0.0,0.5,0.5,0.5,10.0
298,Xavier Moon,LAC,13.7,.490,1.4,2.4,0.7,0.3,0.6,5.8
299,Justise Winslow,LAC,13.0,.447,3.6,1.4,0.6,0.5,1.0,4.2
300,Semi Ojeleye,LAC,9.8,.414,1.6,0.4,0.2,0.1,0.4,4.1
301,Rodney Hood,LAC,9.8,.462,0.8,0.6,0.2,0.2,0.3,2.6
302,Keon Johnson,LAC,9.0,.333,1.4,0.9,0.5,0.1,0.5,3.5
303,Wenyen Gabriel,LAC,7.7,.385,2.3,0.3,0.2,0.3,0.5,2.3
304,Jay Scrubb,LAC,6.7,.391,0.9,0.4,0.2,0.2,0.4,2.7
305,Moses Wright,LAC,1.0,,0.0,1.0,0.0,0.0,0.0,0.0
306,LeBron James,LAL,37.2,.524,8.2,6.2,1.3,1.1,3.5,30.3
307,Anthony Davis,LAL,35.1,.532,9.9,3.1,1.2,2.3,2.1,23.2
308,Russell Westbrook,LAL,34.3,.444,7.4,7.1,1.0,0.3,3.8,18.5
309,Malik Monk,LAL,28.1,.473,3.4,2.9,0.8,0.4,1.6,13.8
310,Carmelo Anthony,LAL,26.0,.441,4.2,1.0,0.7,0.8,0.9,13.3
311,Isaiah Thomas,LAL,25.3,.308,2.0,1.5,0.0,0.5,1.3,9.3
312,Talen Horton-Tucker,LAL,25.2,.416,3.2,2.7,1.0,0.5,1.4,10.0
313,Austin Reaves,LAL,23.2,.459,3.2,1.8,0.5,0.3,0.7,7.3
314,Stanley Johnson,LAL,22.8,.466,3.2,1.7,0.9,0.3,0.7,6.7
315,Avery Bradley,LAL,22.7,.423,2.2,0.8,0.9,0.1,0.6,6.4
316,Mac McClung,LAL,22.0,.400,3.0,1.0,1.0,1.0,2.0,6.0
317,Trevor Ariza,LAL,19.3,.333,3.4,1.1,0.5,0.3,0.5,4.0
318,Wayne Ellington,LAL,18.8,.414,1.8,0.7,0.5,0.1,0.4,6.7
319,D.J. Augustin,LAL,17.8,.453,1.3,1.6,0.3,0.0,0.5,5.3
320,Wenyen Gabriel,LAL,16.4,.505,4.3,0.6,0.2,0.5,0.7,6.7
321,Dwight Howard,LAL,16.2,.612,5.9,0.6,0.6,0.6,0.8,6.2
322,Rajon Rondo,LAL,16.1,.324,2.7,3.7,0.7,0.3,1.9,3.1
323,Kent Bazemore,LAL,14.0,.324,1.8,0.9,0.6,0.2,0.5,3.4
324,Mason Jones,LAL,12.8,.467,2.5,1.0,0.5,0.0,0.3,6.8
325,DeAndre Jordan,LAL,12.8,.674,5.4,0.4,0.3,0.8,0.7,4.1
326,Darren Collison,LAL,12.3,.286,1.3,0.7,0.3,0.0,0.3,1.3
327,Chaundee Brown Jr.,LAL,10.5,.143,1.0,0.0,0.0,0.0,0.5,1.0
328,Sekou Doumbouya,LAL,8.0,.625,3.0,0.0,1.5,1.0,1.0,7.0
329,Jemerrio Jones,LAL,7.5,.667,1.5,0.0,0.5,0.0,0.0,2.0
330,Jay Huff,LAL,5.0,.000,1.0,0.3,0.3,0.3,0.3,0.0
331,Ja Morant,MEM,33.1,.493,5.7,6.7,1.2,0.4,3.4,27.4
332,Desmond Bane,MEM,29.8,.461,4.4,2.7,1.2,0.4,1.5,18.2
333,Dillon Brooks,MEM,27.7,.432,3.2,2.8,1.1,0.3,1.6,18.4
334,Jaren Jackson Jr.,MEM,27.3,.415,5.8,1.1,0.9,2.3,1.7,16.3
335,Steven Adams,MEM,26.3,.547,10.0,3.4,0.9,0.8,1.5,6.9
336,De'Anthony Melton,MEM,22.7,.404,4.5,2.7,1.4,0.5,1.5,10.8
337,Ziaire Williams,MEM,21.7,.450,2.1,1.0,0.6,0.2,0.7,8.1
338,Kyle Anderson,MEM,21.5,.446,5.3,2.7,1.1,0.7,1.0,7.6
339,Tyus Jones,MEM,21.2,.451,2.4,4.4,0.9,0.0,0.6,8.7
340,Brandon Clarke,MEM,19.5,.644,5.3,1.3,0.6,1.1,0.5,10.4
341,John Konchar,MEM,17.9,.515,4.6,1.5,0.6,0.3,0.4,4.8
342,Xavier Tillman Sr.,MEM,13.2,.454,3.0,1.2,0.9,0.3,0.6,4.8
343,Killian Tillie,MEM,12.8,.339,1.7,0.6,0.6,0.4,0.4,3.3
344,Santi Aldama,MEM,11.3,.402,2.7,0.7,0.2,0.3,0.5,4.1
345,Sam Merrill,MEM,9.7,.333,1.2,0.7,0.0,0.0,0.3,4.2
346,Jarrett Culver,MEM,9.1,.378,1.3,0.9,0.5,0.1,0.5,3.5
347,Yves Pons,MEM,5.9,.313,1.0,0.1,0.1,0.3,0.1,1.1
348,Shaq Buchanan,MEM,5.0,.250,1.0,1.0,0.5,0.0,1.0,1.0
349,Xavier Sneed,MEM,4.0,.000,1.0,0.0,0.0,0.0,0.0,0.0
350,DaQuan Jeffries,MEM,3.0,.500,0.7,0.3,0.0,0.0,0.0,0.7
351,Dakota Mathias,MEM,2.7,.333,0.3,0.2,0.2,0.0,0.0,1.0
352,Jon Teske,MEM,2.7,.000,0.7,0.3,0.3,0.0,0.0,0.0
353,Tyrell Terry,MEM,1.5,1.000,0.0,0.0,0.0,0.0,0.0,1.0
354,Jimmy Butler,MIA,33.9,.480,5.9,5.5,1.6,0.5,2.1,21.4
355,Kyle Lowry,MIA,33.9,.440,4.5,7.5,1.1,0.3,2.7,13.4
356,Tyler Herro,MIA,32.6,.447,5.0,4.0,0.7,0.1,2.6,20.7
357,Bam Adebayo,MIA,32.6,.557,10.1,3.4,1.4,0.8,2.6,19.1
358,P.J. Tucker,MIA,27.9,.484,5.5,2.1,0.8,0.2,0.9,7.6
359,Duncan Robinson,MIA,25.9,.399,2.6,1.6,0.5,0.2,0.8,10.9
360,Gabe Vincent,MIA,23.4,.417,1.9,3.1,0.9,0.2,1.4,8.7
361,Max Strus,MIA,23.3,.441,3.0,1.4,0.4,0.2,0.8,10.6
362,Caleb Martin,MIA,22.9,.507,3.8,1.1,1.0,0.5,0.9,9.2
363,Mychal Mulder,MIA,22.0,.400,1.5,1.0,0.0,0.5,0.0,7.0
364,Victor Oladipo,MIA,21.6,.479,2.9,3.5,0.6,0.1,2.0,12.4
365,Markieff Morris,MIA,17.5,.474,2.6,1.4,0.4,0.1,1.2,7.6
366,Dewayne Dedmon,MIA,15.9,.566,5.8,0.7,0.4,0.6,1.0,6.3
367,Omer Yurtseven,MIA,12.6,.526,5.3,0.9,0.3,0.4,0.7,5.3
368,Nik Stauskas,MIA,12.0,.375,1.5,0.5,0.0,0.0,0.0,5.5
369,KZ Okpala,MIA,11.6,.435,2.0,0.7,0.2,0.3,0.2,3.7
370,Marcus Garrett,MIA,10.7,.238,1.9,0.6,0.4,0.3,0.2,1.1
371,Javonte Smart,MIA,10.0,.471,1.3,0.5,0.5,0.3,0.5,5.0
372,Chris Silva,MIA,9.8,.533,3.9,0.8,0.0,0.1,0.9,2.9
373,Kyle Guy,MIA,9.8,.400,0.9,0.9,0.4,0.1,0.7,3.9
374,Haywood Highsmith,MIA,8.6,.348,1.4,0.3,0.1,0.2,0.2,2.3
375,Udonis Haslem,MIA,6.4,.452,1.9,0.3,0.1,0.1,0.4,2.5
376,Jrue Holiday,MIL,33.0,.501,4.5,6.8,1.6,0.4,2.7,18.3
377,Giannis Antetokounmpo,MIL,32.9,.553,11.6,5.8,1.1,1.4,3.3,29.9
378,Khris Middleton,MIL,32.4,.443,5.4,5.4,1.2,0.3,2.9,20.1
379,Bobby Portis,MIL,28.2,.479,9.1,1.2,0.7,0.7,1.3,14.6
380,Grayson Allen,MIL,27.3,.448,3.4,1.5,0.7,0.3,0.7,11.1
381,Pat Connaughton,MIL,26.0,.458,4.2,1.3,0.9,0.2,0.5,9.9
382,George Hill,MIL,23.2,.429,2.9,2.2,0.8,0.1,0.8,6.2
383,Brook Lopez,MIL,22.9,.466,4.1,0.5,0.6,1.2,0.9,12.4
384,Rayjon Tucker,MIL,21.0,.714,2.0,3.0,1.5,0.0,0.5,7.5
385,Wesley Matthews,MIL,20.4,.395,1.9,0.7,0.5,0.2,0.4,5.1
386,Donte DiVincenzo,MIL,20.1,.331,3.5,1.7,0.6,0.2,1.6,7.2
387,Jordan Nwora,MIL,19.1,.403,3.6,1.0,0.4,0.3,0.9,7.9
388,Serge Ibaka,MIL,17.8,.519,5.3,0.7,0.2,0.4,0.5,7.0
389,Jevon Carter,MIL,17.7,.506,2.2,2.5,0.5,0.2,0.4,5.6
390,DeMarcus Cousins,MIL,16.9,.466,5.8,1.1,0.9,0.5,0.9,9.1
391,Langston Galloway,MIL,16.3,.077,3.3,2.3,0.3,0.0,0.3,0.7
392,Semi Ojeleye,MIL,15.4,.257,2.9,0.3,0.3,0.3,0.3,2.9
393,Rodney Hood,MIL,14.9,.351,1.7,0.8,0.3,0.1,0.2,3.3
394,Greg Monroe,MIL,14.0,.500,4.2,0.4,0.6,0.4,0.6,5.4
395,Javonte Smart,MIL,12.3,.256,1.5,1.1,0.3,0.2,0.7,2.4
396,Justin Robinson,MIL,11.6,.316,0.8,1.2,0.5,0.0,0.6,2.8
397,Lindell Wigginton,MIL,10.5,.426,1.3,1.2,0.3,0.1,0.6,4.2
398,Sandro Mamukelashvili,MIL,9.9,.496,2.0,0.5,0.2,0.2,0.4,3.8
399,Thanasis Antetokounmpo,MIL,9.9,.547,2.1,0.5,0.3,0.3,0.5,3.6
400,DeAndre' Bembry,MIL,9.6,.375,1.4,0.8,0.3,0.0,0.1,0.8
401,Georgios Kalaitzakis,MIL,5.3,.455,0.9,0.0,0.1,0.1,0.4,1.8
402,Luke Kornet,MIL,3.0,.000,1.0,0.0,0.0,0.0,0.0,0.0
403,Jeff Dowtin,MIL,3.0,.000,0.0,0.0,0.0,0.0,0.0,0.0
404,Javin DeLaurier,MIL,3.0,,1.0,0.0,1.0,0.0,0.0,0.0
405,Anthony Edwards,MIN,34.3,.441,4.8,3.8,1.5,0.6,2.6,21.3
406,Karl-Anthony Towns,MIN,33.5,.529,9.8,3.6,1.0,1.1,3.1,24.6
407,D'Angelo Russell,MIN,32.0,.411,3.3,7.1,1.0,0.3,2.5,18.1
408,Jaden McDaniels,MIN,25.8,.460,4.2,1.1,0.7,0.8,1.1,9.2
409,Patrick Beverley,MIN,25.4,.406,4.1,4.6,1.2,0.9,1.3,9.2
410,Jarred Vanderbilt,MIN,25.4,.587,8.4,1.3,1.3,0.6,1.0,6.9
411,Malik Beasley,MIN,25.0,.391,2.9,1.5,0.5,0.2,0.5,12.1
412,Greg Monroe,MIN,20.3,.591,6.0,4.0,1.0,1.5,1.8,7.3
413,Taurean Prince,MIN,17.1,.454,2.5,1.0,0.7,0.3,0.8,7.3
414,Naz Reid,MIN,15.8,.489,3.9,0.9,0.5,0.9,1.1,8.3
415,Jaylen Nowell,MIN,15.7,.475,2.0,2.1,0.4,0.2,0.6,8.5
416,Jordan McLaughlin,MIN,14.5,.440,1.5,2.9,0.9,0.2,0.6,3.8
417,Josh Okogie,MIN,10.5,.404,1.4,0.5,0.5,0.2,0.5,2.7
418,Nathan Knight,MIN,7.2,.511,2.3,0.6,0.2,0.2,0.5,3.7
419,Leandro Bolmaro,MIN,6.9,.315,1.2,0.6,0.2,0.0,0.4,1.4
420,Jake Layman,MIN,6.8,.411,1.1,0.3,0.2,0.1,0.3,2.4
421,McKinley Wright IV,MIN,3.8,.667,0.0,0.6,0.0,0.0,0.2,1.0
422,Chris Silva,MIN,3.0,,1.0,0.0,0.0,0.0,0.0,0.0
423,Brandon Ingram,NOP,34.0,.461,5.8,5.6,0.6,0.5,2.7,22.7
424,CJ McCollum,NOP,33.8,.493,4.5,5.8,1.3,0.0,2.2,24.3
425,Josh Hart,NOP,33.5,.505,7.8,4.1,1.1,0.3,2.0,13.4
426,Jonas Valančiūnas,NOP,30.3,.544,11.4,2.6,0.6,0.8,2.4,17.8
427,Herbert Jones,NOP,29.9,.476,3.8,2.1,1.7,0.8,1.3,9.5
428,Devonte' Graham,NOP,28.4,.363,2.3,4.2,0.9,0.2,1.4,11.9
