,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
627,Tre Jones,SAS,16.6,.490,2.2,3.4,0.6,0.1,0.7,6.0
628,Keita Bates-Diop,SAS,16.2,.517,3.9,0.7,0.5,0.2,0.8,5.7
629,Thaddeus Young,SAS,14.2,.578,3.6,2.3,0.9,0.3,1.2,6.1
630,Drew Eubanks,SAS,12.1,.528,4.0,1.0,0.3,0.6,0.9,4.7
631,Jock Landale,SAS,10.9,.495,2.6,0.8,0.2,0.3,0.6,4.9
632,Romeo Langford,SAS,10.8,.571,1.0,0.5,0.3,0.0,0.0,2.8
633,Juancho Hernangómez,SAS,10.2,.333,3.0,0.6,0.2,0.2,0.4,1.4
634,Tomáš Satoranský,SAS,9.0,,1.0,0.0,0.0,0.0,0.0,3.0
635,Devontae Cacok,SAS,8.1,.677,2.8,0.4,0.5,0.5,0.2,3.1
636,Joe Wieskamp,SAS,7.1,.357,0.5,0.3,0.1,0.1,0.1,2.1
637,Jaylen Morris,SAS,5.3,.000,0.7,0.7,0.0,0.0,0.3,0.7
638,Anthony Lamb,SAS,4.0,.000,0.5,1.0,0.0,0.0,0.0,0.0
639,Fred VanVleet,TOR,37.9,.403,4.4,6.7,1.7,0.5,2.6,20.3
640,Pascal Siakam,TOR,37.9,.494,8.5,5.3,1.3,0.6,2.7,22.8
641,OG Anunoby,TOR,36.0,.443,5.5,2.6,1.5,0.5,1.7,17.1
642,Scottie Barnes,TOR,35.4,.492,7.5,3.5,1.1,0.7,1.8,15.3
643,Gary Trent Jr.,TOR,35.0,.414,2.7,2.0,1.7,0.3,1.0,18.3
644,Juwan Morgan,TOR,27.0,.667,4.0,1.0,0.0,0.0,0.0,5.0
645,Precious Achiuwa,TOR,23.6,.439,6.5,1.1,0.5,0.6,1.2,9.1
646,Chris Boucher,TOR,21.1,.464,6.2,0.3,0.6,0.9,0.5,9.4
647,Tremont Waters,TOR,21.0,.250,2.0,3.5,2.0,0.0,2.0,4.0
648,Thaddeus Young,TOR,18.3,.465,4.4,1.7,1.2,0.4,0.8,6.3
649,Goran Dragić,TOR,18.0,.382,2.8,1.8,1.0,0.2,0.2,8.0
650,Khem Birch,TOR,18.0,.485,4.3,1.0,0.5,0.5,0.5,4.5
651,D.J. Wilson,TOR,13.5,.733,4.0,1.3,1.3,0.3,0.5,7.5
652,Svi Mykhailiuk,TOR,12.8,.389,1.6,0.8,0.5,0.1,0.6,4.6
653,Malachi Flynn,TOR,12.2,.393,1.4,1.6,0.5,0.1,0.3,4.3
654,Armoni Brooks,TOR,11.8,.289,1.7,1.0,0.5,0.2,0.3,2.6
655,Yuta Watanabe,TOR,11.7,.406,2.4,0.6,0.3,0.4,0.5,4.3
656,Dalano Banton,TOR,10.9,.411,1.9,1.5,0.4,0.2,0.8,3.2
657,Daniel Oturu,TOR,9.0,.500,1.7,0.0,0.0,0.7,0.0,3.0
658,Justin Champagnie,TOR,7.8,.463,2.0,0.3,0.2,0.1,0.2,2.3
659,Isaac Bonga,TOR,4.6,.231,0.5,0.3,0.5,0.1,0.1,0.8
660,David Johnson,TOR,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0
661,Sam Dekker,TOR,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
662,Donovan Mitchell,UTA,33.8,.448,4.2,5.3,1.5,0.2,3.0,25.9
663,Rudy Gobert,UTA,32.1,.713,14.7,1.1,0.7,2.1,1.8,15.6
664,Royce O'Neale,UTA,31.2,.457,4.8,2.5,1.1,0.4,1.0,7.4
665,Bojan Bogdanović,UTA,30.9,.455,4.3,1.7,0.5,0.0,1.7,18.1
666,Mike Conley,UTA,28.6,.435,3.0,5.3,1.3,0.3,1.7,13.7
667,Jordan Clarkson,UTA,27.1,.419,3.5,2.5,0.8,0.2,1.6,16.0
668,Joe Ingles,UTA,24.9,.404,2.9,3.5,0.5,0.1,1.0,7.2
669,Danuel House Jr.,UTA,19.6,.447,2.7,1.0,0.6,0.5,0.6,6.8
670,Rudy Gay,UTA,18.9,.414,4.4,1.0,0.5,0.3,0.9,8.1
671,Hassan Whiteside,UTA,17.9,.652,7.6,0.4,0.3,1.6,0.8,8.2
672,Juancho Hernangómez,UTA,17.5,.507,3.5,0.8,0.5,0.4,0.5,6.2
673,Trent Forrest,UTA,12.8,.490,1.7,1.8,0.5,0.1,0.8,3.3
674,Eric Paschall,UTA,12.7,.485,1.8,0.6,0.2,0.1,0.5,5.8
675,Udoka Azubuike,UTA,11.5,.755,4.2,0.0,0.1,0.6,0.7,4.7
676,Nickeil Alexander-Walker,UTA,9.9,.333,1.5,1.1,0.3,0.3,0.5,3.5
677,Denzel Valentine,UTA,9.0,.500,2.0,0.0,0.5,0.0,1.0,2.5
678,Greg Monroe,UTA,8.7,.800,3.0,1.0,0.0,0.3,0.0,4.0
679,Jared Butler,UTA,8.6,.404,1.1,1.5,0.4,0.2,0.8,3.8
